dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,13.114604,12.720757,7.433489,7.028860,-6.521185,0.072760,6.270509
0.020000,13.252563,12.719066,7.571458,6.898464,-6.519754,0.071539,6.271362
0.020000,13.387916,12.717525,7.706820,6.768097,-6.518351,0.070151,6.272237
0.020000,13.520664,12.716130,7.839575,6.637758,-6.516973,0.068899,6.273132
0.020000,13.650807,12.714881,7.969724,6.507446,-6.515622,0.067559,6.274046
0.020000,13.778345,12.713774,8.097268,6.377160,-6.514297,0.066263,6.274975
0.020000,13.903280,12.712807,8.222206,6.246900,-6.512997,0.064960,6.275919
0.020000,14.025610,12.711976,8.344539,6.116665,-6.511725,0.063599,6.276875
0.020000,14.145337,12.711278,8.464268,5.986456,-6.510480,0.062292,6.277840
0.020000,14.262461,12.710709,8.581393,5.856270,-6.509258,0.061088,6.278814
0.020000,14.376983,12.710264,8.695916,5.726109,-6.508066,0.059571,6.279794
0.020000,14.488902,12.709939,8.807835,5.595971,-6.506897,0.058446,6.280778
0.020000,14.598218,12.709730,8.917152,5.465856,-6.505757,0.057025,6.281764
0.020000,14.704934,12.709631,9.023867,5.335763,-6.504642,0.055755,6.282751
0.020000,14.809047,12.709637,9.127981,5.205692,-6.503558,0.054194,0.000552
0.020000,14.910560,12.709742,9.229494,5.075642,-6.502494,0.053208,0.001535
0.020000,15.009472,12.709942,9.328406,4.945613,-6.501458,0.051797,0.002514
0.020000,15.105784,12.710231,9.424718,4.815604,-6.500451,0.050338,0.003487
0.020000,15.199496,12.710603,9.518431,4.685614,-6.499473,0.048895,0.004452
0.020000,15.290607,12.711052,9.609544,4.555644,-6.498515,0.047930,0.005408
0.020000,15.379120,12.711573,9.698057,4.425692,-6.497586,0.046432,0.006353
0.020000,15.465033,12.712158,9.783973,4.295759,-6.496682,0.045197,0.007287
0.020000,15.548347,12.712804,9.867289,4.165842,-6.495819,0.043165,0.008206
0.020000,15.629063,12.713503,9.948008,4.035943,-6.494955,0.043161,0.009111
0.020000,15.707181,12.714249,10.026129,3.906060,-6.494144,0.040549,0.010000
0.020000,15.782700,12.715037,10.101653,3.776193,-6.493351,0.039669,0.010871
0.020000,15.855623,12.715861,10.174580,3.646342,-6.492572,0.038955,0.011724
0.020000,15.925948,12.716715,10.244910,3.516505,-6.491844,0.036379,0.012557
0.020000,15.993675,12.717593,10.312644,3.386683,-6.491119,0.036280,0.013369
0.020000,16.058807,12.718489,10.377781,3.256874,-6.490435,0.034175,0.014159
0.020000,16.121342,12.719399,10.440323,3.127079,-6.489764,0.033556,0.014925
0.020000,16.181281,12.720315,10.500269,2.997296,-6.489158,0.030322,0.015668
0.020000,16.238624,12.721234,10.557619,2.867525,-6.488522,0.031811,0.016385
0.020000,16.293371,12.722151,10.612375,2.737766,-6.487950,0.028583,0.017077
0.020000,16.345524,12.723058,10.664535,2.608018,-6.487389,0.028057,0.017741
0.020000,16.395081,12.723954,10.714101,2.478281,-6.486877,0.025609,0.018378
0.020000,16.442044,12.724831,10.761072,2.348554,-6.486354,0.026134,0.018986
0.020000,16.486413,12.725686,10.805448,2.218836,-6.485895,0.022918,0.019564
0.020000,16.528187,12.726515,10.847231,2.089127,-6.485446,0.022481,0.020113
0.020000,16.567368,12.727313,10.886420,1.959427,-6.485002,0.022174,0.020630
0.020000,16.603954,12.728077,10.923014,1.829734,-6.484640,0.018112,0.021117
0.020000,16.637947,12.728803,10.957015,1.700049,-6.484244,0.019826,0.021571
0.020000,16.669347,12.729487,10.988423,1.570371,-6.483905,0.016949,0.021993
